ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
2.528,4.489,8.492,-3.359,7.427,2.519
2.468,4.293,8.447,-0.099,4.336,0.336
2.512,4.362,8.444,-2.397,3.763,1.16
2.452,4.53,8.322,-2.038,6.366,0.534
2.533,4.209,8.466,-0.885,4.153,-0.099
2.552,4.475,8.229,-2.069,3.382,1.168
2.456,4.355,8.461,-1.42,5.015,-0.336
2.696,4.599,8.229,1.275,4.053,-1.122
2.464,4.353,8.432,-2.115,4.679,3.718
2.538,4.338,8.38,0.511,4.405,-0.084
2.471,4.355,8.502,-2.908,6.458,2.084
2.543,4.334,8.363,-0.702,1.71,1.351
2.478,4.487,8.54,-1.214,4.542,1.046
2.538,4.405,8.298,-1.985,5.481,0.817
2.488,4.35,8.442,-0.947,2.786,0.0
2.593,4.386,8.253,-1.13,5.756,0.237
2.502,4.31,8.413,-1.626,3.565,0.099
2.55,4.417,8.444,-1.336,6.336,1.069
2.507,4.317,8.435,-1.275,3.321,-1.122
2.622,4.343,8.411,-2.099,6.336,0.336
2.67,4.415,8.253,-1.489,4.557,0.718
2.612,4.393,8.547,-1.038,3.573,1.618
2.545,4.365,8.313,-1.809,5.26,0.656
2.447,4.319,8.586,-1.542,3.985,1.176
2.622,4.477,8.339,-1.092,3.84,0.626
2.433,4.322,8.303,-1.168,5.313,0.405
2.531,4.343,8.373,-2.351,5.763,1.191
2.531,4.345,8.31,0.328,2.824,-2.046
2.456,4.563,8.48,-2.687,6.588,1.305
2.626,4.355,8.389,4.183,1.206,-3.427
2.624,4.695,8.341,-0.794,3.137,2.198
2.571,4.3,8.468,-1.969,6.901,1.473
2.61,4.578,8.399,-0.481,3.038,-0.908
2.442,4.436,8.416,-2.969,7.702,2.092
2.545,4.441,8.384,-0.992,2.244,-0.534
2.456,4.422,8.382,-3.076,6.664,1.015
2.612,4.453,8.356,-1.756,4.374,0.267
2.49,4.415,8.327,-0.885,3.771,-0.58
2.531,4.453,8.408,-1.13,4.557,0.947
2.662,4.341,8.126,1.099,4.74,-1.527
2.538,4.463,8.464,-3.504,5.634,3.16
2.547,4.365,8.456,1.084,3.405,-1.794
2.612,4.496,8.406,-3.137,5.351,3.046
2.567,4.405,8.483,-1.153,3.924,-0.031
2.559,4.336,8.327,-2.916,6.405,1.206
2.488,4.386,8.483,-0.023,2.45,-0.679
2.622,4.405,8.234,-2.275,6.702,0.573
2.473,4.345,8.286,-0.458,2.863,-1.237
2.579,4.377,8.346,-2.321,6.221,1.29
2.574,4.415,8.356,0.237,2.931,-1.359
2.373,4.475,8.408,-2.87,6.252,1.916
2.497,4.606,8.394,-0.504,4.031,-1.534
2.483,4.379,8.38,-0.779,6.962,0.542
2.6,4.41,8.363,1.611,2.756,-2.038
2.488,4.341,8.401,-2.443,6.45,1.58
2.61,4.398,8.485,-0.771,2.282,-1.206
2.6,4.571,8.452,-0.832,4.908,1.183
2.598,4.441,8.432,0.176,2.542,-0.595
2.641,4.41,8.219,-2.542,3.183,2.107
2.428,4.329,8.298,-2.336,5.084,3.489
2.502,4.302,8.361,-1.206,3.519,-0.023
2.483,4.324,8.418,-2.763,5.382,1.962
2.595,4.353,8.485,-2.183,6.695,-0.695
2.643,4.448,8.339,-1.557,4.298,0.153
2.598,4.362,8.456,-3.603,5.458,1.87
2.617,4.453,8.284,-1.145,3.763,-0.733
2.492,4.262,8.449,-2.718,4.557,2.198
2.672,4.434,8.353,-0.046,3.13,-0.405
2.387,4.281,8.526,-1.382,2.443,1.076
2.653,4.413,8.399,-1.969,7.74,1.511
2.49,4.147,8.497,1.237,0.893,-0.466
2.523,4.417,8.056,-2.634,7.649,0.099
2.579,4.271,8.653,-1.0,3.206,-0.176
2.758,4.417,8.452,-3.603,5.756,1.237
2.535,4.252,8.521,-2.099,4.115,1.229
2.667,4.31,8.473,-2.992,5.115,0.031
2.629,4.396,8.408,-1.817,3.443,-0.42
2.624,4.427,8.282,-2.618,4.718,0.885
2.684,4.475,8.313,-1.634,3.771,0.771
2.602,4.35,8.308,-3.58,7.466,5.321
2.586,4.278,8.38,1.183,-0.084,0.061
2.547,4.401,8.322,-3.244,8.534,3.756
2.504,4.202,8.452,0.58,2.511,-0.679
2.531,4.393,8.301,-0.847,6.656,-0.107
2.485,4.396,8.499,-0.092,5.153,-0.122
2.512,4.274,8.502,-2.702,8.603,2.313
2.552,4.298,8.648,0.061,2.794,-2.534
2.686,4.46,8.511,-4.015,7.771,3.092
2.533,4.259,8.689,-0.511,1.611,-0.695
2.569,4.204,8.435,-3.321,5.466,0.733
2.602,4.219,8.346,-0.985,2.679,-0.847
2.567,4.446,8.413,-1.992,3.229,0.328
2.514,4.187,8.516,-2.237,3.145,1.26
2.564,4.403,8.349,-1.969,3.427,1.427
2.583,4.345,8.394,-1.389,6.084,0.626
2.677,4.319,8.358,-1.603,5.198,1.26
2.564,4.051,8.521,-2.573,9.145,3.328
2.605,4.238,8.566,-0.176,2.0,-1.802
2.626,4.381,8.502,-2.527,6.008,2.099
2.521,4.231,8.562,-0.847,3.0,-0.137
2.598,4.408,8.423,-2.137,6.038,1.649
2.595,4.226,8.454,-1.405,3.588,0.275
2.514,4.262,8.308,-0.802,4.924,-0.496
2.65,4.245,8.42,-1.901,5.282,0.954
2.488,4.319,8.475,-1.756,4.595,0.153
2.641,4.219,8.485,-0.588,4.786,0.176
2.646,4.173,8.289,-1.893,5.107,0.481
2.581,4.173,8.459,-0.237,5.198,-0.618
2.595,4.111,8.351,-1.061,4.527,-0.977
2.614,4.137,8.485,-3.145,6.511,0.885
2.624,4.187,8.471,-0.351,3.58,-1.336
2.576,4.221,8.478,-2.687,6.008,0.908
2.519,4.247,8.452,-1.557,4.435,0.015
2.588,4.25,8.317,-1.618,6.092,0.473
2.533,4.269,8.435,-1.084,4.015,0.893
2.543,4.161,8.389,-0.405,5.015,-0.924
2.557,4.374,8.452,-1.611,5.015,0.229
2.598,4.07,8.442,-1.595,5.725,1.16
2.567,4.199,8.564,-0.298,4.901,-1.664
2.626,4.266,8.456,-2.504,5.038,1.481
2.591,4.278,8.557,-0.344,4.779,0.466
2.562,4.216,8.313,-1.634,5.832,0.679
2.48,4.243,8.478,-1.237,3.748,0.0
2.449,4.319,8.32,-2.55,7.0,0.405
2.528,4.302,8.464,-0.748,4.115,-0.557
